INFO 2024-09-28 09:10:42,755 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-28 09:10:43,540 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\unittest\__init__.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,540 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\postgres\lookups.py first seen with mtime 1727535192.9185324
DEBUG 2024-09-28 09:10:43,540 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1727535193.7185469
DEBUG 2024-09-28 09:10:43,540 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\test\signals.py first seen with mtime 1727535194.0453851
DEBUG 2024-09-28 09:10:43,540 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1727535190.94967
DEBUG 2024-09-28 09:10:43,540 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\asyncio\windows_utils.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,540 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1727535193.695453
DEBUG 2024-09-28 09:10:43,541 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,541 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1727535193.9270635
DEBUG 2024-09-28 09:10:43,541 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\http\cookie.py first seen with mtime 1727535194.0079634
DEBUG 2024-09-28 09:10:43,541 autoreload File D:\New folder\Inventory\env\Lib\site-packages\cryptography\hazmat\decrepit\ciphers\algorithms.py first seen with mtime 1727535808.6654422
DEBUG 2024-09-28 09:10:43,541 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,541 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\asyncio\proactor_events.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,541 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1727535193.942034
DEBUG 2024-09-28 09:10:43,541 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\template\library.py first seen with mtime 1727535194.0247486
DEBUG 2024-09-28 09:10:43,541 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\template\smartif.py first seen with mtime 1727535194.0268142
DEBUG 2024-09-28 09:10:43,542 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\postgres\fields\hstore.py first seen with mtime 1727535192.933524
DEBUG 2024-09-28 09:10:43,542 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\decimal.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,542 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1727535193.916767
DEBUG 2024-09-28 09:10:43,542 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1727535193.6727278
DEBUG 2024-09-28 09:10:43,542 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1727535193.73222
DEBUG 2024-09-28 09:10:43,542 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\utils.py first seen with mtime 1727535193.7785625
DEBUG 2024-09-28 09:10:43,542 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\utils\duration.py first seen with mtime 1727535194.0656152
DEBUG 2024-09-28 09:10:43,542 autoreload File D:\New folder\Inventory\env\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1727535189.2644649
DEBUG 2024-09-28 09:10:43,542 autoreload File D:\New folder\Inventory\env\Lib\site-packages\cryptography\hazmat\primitives\serialization\base.py first seen with mtime 1727535808.690803
DEBUG 2024-09-28 09:10:43,542 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1727535190.9565027
DEBUG 2024-09-28 09:10:43,542 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1727535193.692274
DEBUG 2024-09-28 09:10:43,543 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1727535194.0947392
DEBUG 2024-09-28 09:10:43,543 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\models\manager.py first seen with mtime 1727535193.9181182
DEBUG 2024-09-28 09:10:43,543 autoreload File D:\New folder\Inventory\env\Lib\site-packages\cryptography\hazmat\primitives\__init__.py first seen with mtime 1727535808.699381
DEBUG 2024-09-28 09:10:43,543 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1727535193.6994386
DEBUG 2024-09-28 09:10:43,543 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\glob.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,543 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1727535194.0377197
DEBUG 2024-09-28 09:10:43,543 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\signing.py first seen with mtime 1727535193.6855724
DEBUG 2024-09-28 09:10:43,543 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1727535193.7684882
DEBUG 2024-09-28 09:10:43,543 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1727535194.0886908
DEBUG 2024-09-28 09:10:43,543 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1727535193.4678137
DEBUG 2024-09-28 09:10:43,544 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\warnings.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,544 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1727535194.0789526
DEBUG 2024-09-28 09:10:43,544 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\urllib\__init__.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,544 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\postgres\forms\__init__.py first seen with mtime 1727535192.9426231
DEBUG 2024-09-28 09:10:43,544 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1727535194.0998752
DEBUG 2024-09-28 09:10:43,544 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1727535193.9087627
DEBUG 2024-09-28 09:10:43,544 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\postgres\fields\ranges.py first seen with mtime 1727535192.9416244
DEBUG 2024-09-28 09:10:43,544 autoreload File D:\New folder\Inventory\env\Lib\site-packages\jwt\warnings.py first seen with mtime 1727535884.9564626
DEBUG 2024-09-28 09:10:43,544 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\exceptions.py first seen with mtime 1727535193.6837022
DEBUG 2024-09-28 09:10:43,544 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\utils\connection.py first seen with mtime 1727535194.0589597
DEBUG 2024-09-28 09:10:43,544 autoreload File D:\New folder\Inventory\env\Lib\site-packages\jwt\jwks_client.py first seen with mtime 1727535884.953474
DEBUG 2024-09-28 09:10:43,545 autoreload File D:\New folder\Inventory\env\Lib\site-packages\_cffi_backend.cp312-win_amd64.pyd first seen with mtime 1727535808.0662332
DEBUG 2024-09-28 09:10:43,545 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1727535192.9018104
DEBUG 2024-09-28 09:10:43,546 autoreload File D:\New folder\Inventory\env\Lib\site-packages\jwt\__init__.py first seen with mtime 1727535884.946119
DEBUG 2024-09-28 09:10:43,546 autoreload File D:\New folder\Inventory\env\Lib\site-packages\redis\commands\helpers.py first seen with mtime 1727536050.6763122
DEBUG 2024-09-28 09:10:43,546 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\asyncio\events.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,546 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1727535193.6767838
DEBUG 2024-09-28 09:10:43,548 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\tempfile.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,548 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1727535194.0646434
DEBUG 2024-09-28 09:10:43,548 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,549 autoreload File D:\New folder\Inventory\inventory\user_inventory\redis.py first seen with mtime 1727537038.1366918
DEBUG 2024-09-28 09:10:43,549 autoreload File D:\New folder\Inventory\env\Lib\site-packages\cryptography\hazmat\primitives\_serialization.py first seen with mtime 1727535808.6983826
DEBUG 2024-09-28 09:10:43,549 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\files\utils.py first seen with mtime 1727535193.7129593
DEBUG 2024-09-28 09:10:43,549 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\forms\formsets.py first seen with mtime 1727535193.9482377
DEBUG 2024-09-28 09:10:43,549 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\template\response.py first seen with mtime 1727535194.0267472
DEBUG 2024-09-28 09:10:43,549 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\email\iterators.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,550 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\mimetypes.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,550 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,550 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\urls\__init__.py first seen with mtime 1727535194.0483773
DEBUG 2024-09-28 09:10:43,550 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\backends\postgresql\features.py first seen with mtime 1727535193.8709161
DEBUG 2024-09-28 09:10:43,550 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1727535194.0367186
DEBUG 2024-09-28 09:10:43,550 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\inspect.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,550 autoreload File D:\New folder\Inventory\env\Lib\site-packages\redis\credentials.py first seen with mtime 1727536050.6434216
DEBUG 2024-09-28 09:10:43,550 autoreload File D:\New folder\Inventory\env\Lib\site-packages\redis\_parsers\base.py first seen with mtime 1727536050.6555905
DEBUG 2024-09-28 09:10:43,550 autoreload File D:\New folder\Inventory\env\Lib\site-packages\cryptography\hazmat\primitives\asymmetric\padding.py first seen with mtime 1727535808.6720474
DEBUG 2024-09-28 09:10:43,551 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1727535193.6697352
DEBUG 2024-09-28 09:10:43,551 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1727535193.7050145
DEBUG 2024-09-28 09:10:43,551 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1727535193.7664945
DEBUG 2024-09-28 09:10:43,551 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\models\options.py first seen with mtime 1727535193.9190986
DEBUG 2024-09-28 09:10:43,551 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1727535194.0336082
DEBUG 2024-09-28 09:10:43,551 autoreload File D:\New folder\Inventory\env\Lib\site-packages\rest_framework\utils\model_meta.py first seen with mtime 1727535794.7588406
DEBUG 2024-09-28 09:10:43,551 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\asyncio\taskgroups.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,551 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\views\i18n.py first seen with mtime 1727535194.092746
DEBUG 2024-09-28 09:10:43,551 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1727535193.7072606
DEBUG 2024-09-28 09:10:43,551 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\reprlib.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,552 autoreload File D:\New folder\Inventory\env\Lib\site-packages\redis\_parsers\helpers.py first seen with mtime 1727536050.660464
DEBUG 2024-09-28 09:10:43,552 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\json\scanner.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,552 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\email\_parseaddr.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,552 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\DLLs\select.pyd first seen with mtime 1717728902.0
DEBUG 2024-09-28 09:10:43,552 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\utils\__init__.py first seen with mtime 1727535194.053082
DEBUG 2024-09-28 09:10:43,552 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1727535190.9486678
DEBUG 2024-09-28 09:10:43,552 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\heapq.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,552 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\asyncio\subprocess.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,553 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_adapters.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,553 autoreload File D:\New folder\Inventory\env\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1727535189.2674515
DEBUG 2024-09-28 09:10:43,553 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\utils\choices.py first seen with mtime 1727535194.0582132
DEBUG 2024-09-28 09:10:43,553 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\_compat_pickle.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,553 autoreload File D:\New folder\Inventory\env\Lib\site-packages\redis\_parsers\resp3.py first seen with mtime 1727536050.6635756
DEBUG 2024-09-28 09:10:43,554 autoreload File D:\New folder\Inventory\env\Lib\site-packages\rest_framework\metadata.py first seen with mtime 1727535794.5572553
DEBUG 2024-09-28 09:10:43,555 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\forms\fields.py first seen with mtime 1727535193.946238
DEBUG 2024-09-28 09:10:43,556 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,556 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\asyncio\mixins.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,556 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\views\defaults.py first seen with mtime 1727535194.092746
DEBUG 2024-09-28 09:10:43,556 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\__init__.py first seen with mtime 1727535190.57866
DEBUG 2024-09-28 09:10:43,556 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\views\debug.py first seen with mtime 1727535194.0917614
DEBUG 2024-09-28 09:10:43,556 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\unittest\util.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,556 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\typing.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,556 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\wsgiref\headers.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,556 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\numbers.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,556 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1727535193.9360578
DEBUG 2024-09-28 09:10:43,556 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1727535194.0373642
DEBUG 2024-09-28 09:10:43,557 autoreload File D:\New folder\Inventory\env\Lib\site-packages\rest_framework\utils\field_mapping.py first seen with mtime 1727535794.7547226
DEBUG 2024-09-28 09:10:43,557 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\importlib\_abc.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,557 autoreload File D:\New folder\Inventory\env\Lib\site-packages\rest_framework\reverse.py first seen with mtime 1727535794.5676327
DEBUG 2024-09-28 09:10:43,557 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1727535193.9315672
DEBUG 2024-09-28 09:10:43,557 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\email\mime\nonmultipart.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,557 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1727535193.9400392
DEBUG 2024-09-28 09:10:43,557 autoreload File D:\New folder\Inventory\inventory\user_inventory\authorization.py first seen with mtime 1727535771.6866765
DEBUG 2024-09-28 09:10:43,557 autoreload File D:\New folder\Inventory\env\Lib\site-packages\sqlparse\cli.py first seen with mtime 1727535189.256743
DEBUG 2024-09-28 09:10:43,557 autoreload File D:\New folder\Inventory\env\Lib\site-packages\redis\retry.py first seen with mtime 1727536050.6497383
DEBUG 2024-09-28 09:10:43,557 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\enum.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,557 autoreload File D:\New folder\Inventory\env\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1727535189.2655275
DEBUG 2024-09-28 09:10:43,558 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\files\locks.py first seen with mtime 1727535193.70897
DEBUG 2024-09-28 09:10:43,558 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\unittest\suite.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,558 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\postgres\forms\array.py first seen with mtime 1727535192.9443192
DEBUG 2024-09-28 09:10:43,558 autoreload File D:\New folder\Inventory\env\Lib\site-packages\psycopg2\_ipaddress.py first seen with mtime 1727535534.3934364
DEBUG 2024-09-28 09:10:43,558 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\unittest\case.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,558 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\utils\encoding.py first seen with mtime 1727535194.066613
DEBUG 2024-09-28 09:10:43,558 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\asyncio\runners.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,558 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1727535194.071862
DEBUG 2024-09-28 09:10:43,558 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1727535193.907244
DEBUG 2024-09-28 09:10:43,558 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\test\__init__.py first seen with mtime 1727535194.0408833
DEBUG 2024-09-28 09:10:43,559 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1727535194.0628872
DEBUG 2024-09-28 09:10:43,559 autoreload File D:\New folder\Inventory\env\Lib\site-packages\jwt\api_jwt.py first seen with mtime 1727535884.9499354
DEBUG 2024-09-28 09:10:43,559 autoreload File D:\New folder\Inventory\env\Lib\site-packages\rest_framework\schemas\utils.py first seen with mtime 1727535794.6706672
DEBUG 2024-09-28 09:10:43,559 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\types.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,559 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\files\base.py first seen with mtime 1727535193.7079728
DEBUG 2024-09-28 09:10:43,559 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\datetime.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,559 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\models\enums.py first seen with mtime 1727535193.9151409
DEBUG 2024-09-28 09:10:43,559 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1727535191.603704
DEBUG 2024-09-28 09:10:43,559 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1727535194.0357172
DEBUG 2024-09-28 09:10:43,559 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\importlib\__init__.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,559 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1727535192.0215633
DEBUG 2024-09-28 09:10:43,560 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\asyncio\streams.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,560 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\views\static.py first seen with mtime 1727535194.0937426
DEBUG 2024-09-28 09:10:43,560 autoreload File D:\New folder\Inventory\inventory\user_inventory\serializers.py first seen with mtime 1727535851.5104935
DEBUG 2024-09-28 09:10:43,560 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\email\_policybase.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,560 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\email\quoprimime.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,560 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1727535190.9486678
DEBUG 2024-09-28 09:10:43,560 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1727535193.9301958
DEBUG 2024-09-28 09:10:43,560 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1727535193.9326284
DEBUG 2024-09-28 09:10:43,561 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1727535191.799609
DEBUG 2024-09-28 09:10:43,561 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1727535193.7529485
DEBUG 2024-09-28 09:10:43,561 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\concurrent\__init__.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,561 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\re\_casefix.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,561 autoreload File D:\New folder\Inventory\env\Lib\site-packages\redis\asyncio\retry.py first seen with mtime 1727536050.6705568
DEBUG 2024-09-28 09:10:43,563 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1727535194.0326104
DEBUG 2024-09-28 09:10:43,563 autoreload File D:\New folder\Inventory\env\Lib\site-packages\redis\__init__.py first seen with mtime 1727536050.6216116
DEBUG 2024-09-28 09:10:43,563 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\__future__.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,564 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\tokenize.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,564 autoreload File D:\New folder\Inventory\env\Lib\site-packages\asgiref\local.py first seen with mtime 1727535190.3335392
DEBUG 2024-09-28 09:10:43,564 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1727535194.075362
DEBUG 2024-09-28 09:10:43,565 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\email\mime\text.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,565 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\asyncio\queues.py first seen with mtime 1717728852.0
